facilityId,facilityName,state,lat,lon,primaryFuel
3,Barry,AL,31.0069,-88.0103,Pipeline Natural Gas
7,Gadsden,AL,34.0128,-85.9708,Pipeline Natural Gas
8,Gorgas,AL,33.6446,-87.2003,Coal
9,Copper Station,TX,31.7569,-106.375,Pipeline Natural Gas
10,Greene County,AL,32.6017,-87.7811,Pipeline Natural Gas
26,E C Gaston,AL,33.2442,-86.4567,Coal
47,Colbert,AL,34.7439,-87.8486,Pipeline Natural Gas
51,Dolet Hills Power Station,LA,32.0306,-93.5692,Coal
54,Smith Generating Facility,KY,37.8824,-84.1025,Pipeline Natural Gas
56,Charles R Lowman,AL,31.4858,-87.9106,Pipeline Natural Gas
59,Platte,NE,40.8538,-98.3481,Coal
60,Gerald Whelan Energy Center,NE,40.5806,-98.3106,Coal
87,Escalante,NM,35.4159,-108.082,Coal
108,Holcomb,KS,37.9306,-100.9725,Coal
113,Cholla,AZ,34.9394,-110.3033,Coal
116,Ocotillo Power Plant,AZ,33.4225,-111.9122,Pipeline Natural Gas
117,APS West Phoenix Power Plant,AZ,33.4417,-112.1583,Pipeline Natural Gas
118,APS Saguaro Power Plant,AZ,32.5517,-111.3,Pipeline Natural Gas
120,Yucca Power Plant,AZ,32.7214,-114.7097,Pipeline Natural Gas
124,De Moss Petrie Generating Station,AZ,32.2511,-110.9889,Natural Gas
126,Irvington Generating Station,AZ,32.16,-110.9047,Natural Gas
127,Oklaunion Power Station,TX,34.0825,-99.1753,Coal
130,Cross,SC,33.3692,-80.1119,Coal
136,Seminole (136),FL,29.7333,-81.6339,Natural Gas
141,Agua Fria Generating Station,AZ,33.5542,-112.2161,Pipeline Natural Gas
147,Kyrene Generating Station,AZ,33.3544,-111.9364,Pipeline Natural Gas
160,Apache Station,AZ,32.0619,-109.8931,Pipeline Natural Gas
165,Grand River Dam Authority,OK,36.1906,-95.2889,Pipeline Natural Gas
170,Lake Catherine,AR,34.4341,-92.9046,Pipeline Natural Gas
201,Thomas Fitzhugh,AR,35.4617,-93.8053,Pipeline Natural Gas
202,Carl Bailey,AR,35.2597,-91.3631,Pipeline Natural Gas
203,McClellan,AR,33.5648,-92.7917,Pipeline Natural Gas
260,Moss Landing Power Plant,CA,36.8042,-121.7775,Pipeline Natural Gas
298,Limestone,TX,31.4219,-96.2525,Coal
302,Cabrillo Power I Encina Power Station,CA,33.1408,-117.3342,Pipeline Natural Gas
315,AES Alamitos,CA,33.7688,-118.1009,Pipeline Natural Gas
330,El Segundo,CA,33.9106,-118.425,Pipeline Natural Gas
335,AES Huntington Beach,CA,33.6436,-117.9788,Pipeline Natural Gas
341,Long Beach Generating Station,CA,33.7641,-118.2248,Pipeline Natural Gas
350,"Ormond Beach Power, LLC.",CA,34.1292,-119.1689,Pipeline Natural Gas
356,AES Redondo Beach,CA,33.8504,-118.395,Pipeline Natural Gas
358,Mountainview Generating Station,CA,34.0836,-117.2408,Pipeline Natural Gas
377,Grayson Power Plant,CA,34.1556,-118.2782,Pipeline Natural Gas
384,Joliet 29,IL,41.4947,-88.125,Pipeline Natural Gas
389,El Centro,CA,32.8022,-115.54,Pipeline Natural Gas
399,Harbor Generating Station,CA,33.7691,-118.2662,Pipeline Natural Gas
400,Haynes Generating Station,CA,33.7639,-118.0942,Pipeline Natural Gas
404,Scattergood Generating Station,CA,33.9175,-118.4258,Pipeline Natural Gas
408,Valley Generating Station,CA,34.2481,-118.3903,Pipeline Natural Gas
422,Glenarm,CA,34.1256,-118.1474,Pipeline Natural Gas
469,Cherokee,CO,39.8078,-104.9648,Pipeline Natural Gas
470,Comanche (470),CO,38.2081,-104.5747,Coal
478,Zuni,CO,39.7369,-105.0169,Pipeline Natural Gas
492,Martin Drake,CO,38.8244,-104.8331,Pipeline Natural Gas
525,Hayden,CO,40.4856,-107.185,Coal
527,Nucla,CO,38.2387,-108.5083,Coal
533,McWilliams,AL,31.4001,-86.4767,Pipeline Natural Gas
540,Branford,CT,41.2925,-72.7942,Other Oil
542,Cos Cob,CT,41.0289,-73.5989,Other Oil
544,Devon,CT,41.2083,-73.1092,Diesel Oil
546,Montville,CT,41.4281,-72.1019,Residual Oil
557,Tunnel,CT,41.5553,-72.0419,Diesel Oil
561,Franklin Drive,CT,41.7994,-73.1156,Other Oil
562,Middletown,CT,41.5544,-72.5793,Residual Oil
563,South Meadow Station,CT,41.7495,-72.6524,Diesel Oil
564,Curtis H. Stanton Energy Center,FL,28.4836,-81.1686,Pipeline Natural Gas
565,Torrington Terminal,CT,41.7761,-73.1219,Other Oil
568,Bridgeport Harbor Station,CT,41.1706,-73.1843,Pipeline Natural Gas
581,Norwich,CT,41.5269,-72.0631,Diesel Oil
589,J C McNeil,VT,44.4917,-73.2081,Wood
591,Christiana Substation,DE,39.7302,-75.5371,Diesel Oil
592,Delaware City,DE,39.5959,-75.6324,Diesel Oil
593,Edge Moor,DE,39.7372,-75.5033,Residual Oil
594,Indian River,DE,38.5857,-75.2341,Coal
597,West Substation,DE,39.7283,-75.6289,Diesel Oil
599,McKee Run,DE,39.1748,-75.5455,Pipeline Natural Gas
602,Brandon Shores,MD,39.1792,-76.5383,Coal
607,Fredonia Generating Station,WA,48.4553,-122.435,Natural Gas
609,Cape Canaveral,FL,28.4694,-80.7642,Pipeline Natural Gas
